Tweets;Status
þansýzýmçünkü odam turkcell in yurt genelinde çekmediði %0.1 lik yer içerisinde.;2
bu kadar yavas interneti hakedecek ne yaptim turkcell;2
turkcellhizmet >>> problemin cozulmedigini soyledigim halde tekrar cevap vermiyorsunuz kac gun oldu hizmet supermis tesekurler turkcell;2
yýl 2015. turkcell reklamý býrak alt yapýna bak! ülke genelinde ýnternet sorunu ne demek???? açýklama yapmaktan bile acizsiniz!;2
soyguncudigiturk demek yetmez , soyguncu d smart turkcell vodafone avea ttnet. hepsi halký sömürüyor.;2
yarýn ödeyecektim faturayý. neden kullanima kapattinizki .s.s turkcell;2
turkcell beni zivanadan cikartiyorsun nefret ediyorum be senden. bu fatura ne kafana göre surekli tl karsiligi bilmem ne yapiyorsun.biktim;2
turkcell kere lanet olsun size 30 dakikadir musteri hizmetlerine baglanmayi bekliyorum. gecenin 2.30 unda bu ne rezilliktir! turkcellhizmet;2
internetsiz telefon 33 10 gibi zaten normalde internetinizde yavas simdi de paket yapilmiyo neymis sistem de sorun varmis abv turkcell;2
bu turkcell fatura kesmiyor banka soyuyor ayni kampanya aveada 55 turkcellde 70 lira yok böyle biþi;2
turkcellhizmet turkcell sizde hizmet falan yok,;2
turkcellhizmet turkcell gecen ay tamam hadi falan diye gecistirdim ama bu 2. kez oluyor,10 yildir turkcelliydim gelecek aya degistiriyorum;2
ýkidir 15 lirami sebepsiz yere aldin turkcellhizmet turkcell ... ben de hattimi degistirmezsem... resmen rezilsiniz...;2
telefon faturam yine bi hayli can yakýcý !! teþekkürler turkcell;2
turkcell sen kendinde misin ya? yine gitti arkadaþ hat çekmiyor. turkcellhizmet artýk bir çare en azýndan bir açýklama artýk;2
dünyanýn en sorumsuz ve en umursamaz gsm operatörü turkcell turkcellhizmet ile tanýþýn.;2
turkcell bana anca tl yüklemesseniz hattýnýz kapanýr diye mesaj atar he bide yükledikten sonra çok ilgilenir;2
al iþte internetim bitti yine abv turkcell;2
cilginkoulu turkcell'in ulasamadigi %0.01lik kýsmýn %0.005'lik kýsmý bizim köy %0.005'lik kýsmý da senin yatak o zaman turkcell;2
allah belaný versin turkcell bir bedava interneti çok gördün ne çektim be gece gece;2
turkcell hatlarda eriþim sorunu yaþandý genel;2
turkcell müþteri hizmetlerine baðlanamýyoruz ve çekmiyor !! turkcell turkcellhizmet tcellplatinum;2
turkcell superonline dan nefret ediyorum. net!;2
posteklektisist vodafone'a geçsene. yurtdýþý tarifeleri de daha iyi. ben turkcell i býraktým, rahat ettim. turkcellhizmet;2
200 liralýk platinum elit paketine sadece 1000 sms koymak da nedir. o paraya yazýk resmen. turkcell tcellplatinum;2
hizmette rezillikte yarisirsiniz turkcell turk_telekom;2
kartal'da turkcell'in veri hizi neden bu kadar dusuk?;2
an itibari ile saðladýðýnýz internet neden beþ para etmez turkcellhizmet turkcell;2
turkcell artýk 1gb internet hediye vermiyor paket alýnca. bu da beni üzüyor tabi.;2
bilmiyorumlan suan ben aksamdan yukledigim tl den mi kullaniyorum acaba gerildim biraz, cunku oyleyse o turkcell'in camýný çerçevesini;2
1.5 ay sýnýrsýz olarak kullandýðým interneti bugün turkcell sonunda 96 kpbs ye çekti ve böylece bnm turkcellde kalmam için bi sebep kalmadý.;2
turkcell piþmanlýktýr;2
internet paketim yenilendiðine göre 4 gün içinde yine bitirebilirim abv turkcell niye bu kadar internet yiyor;2
koltuk tepesinden beri çekmiyen turkcell hattýný saygý ve sevgilerimle anýyorum baþarýlarýnýn devamýný diliyorum;2
turkcell bodrum akyarlarda 3g baðlantýsý çok yavaþ. nerede kaldý çekim gücü?;2
kaan_terzioglu turkcell ne avantaji? 10 gbt internetimin hesabini verin halki soyuyorsunuz turkcellhirsiz;2
turkcell turk halkini dolandirin sonra da milliyetci gecinin hirsizturkcell;2
kusurabakmaama benden yürüttüðün paralarla 4.5gye geçtin turkcell;2
bide turkcell olcan odamda tek çizgi çekiyon ayýp. turkcell;2
dünyanýn en büyük yalaný : turkcell her yerde çekiyor.;2
nalet turkcell iliðimi kemiðimi kuruttun. zýkkým olsun her ay 30 lira.;2
turkcell internet bile deli gibi yavaþ. var bir iþ bunda. hadi hayýrlýsý.;2
twitter kapatýlýr turkcell interneti yavaþlatýr ne güzel ülke be yaþasýn demokrasi;2
turkcell diyorsunuzda kendisi ömrümü yedi hiç uygun tarife yok :(;2
baþka operatora gidersem utanmazmýsýnýz... ben kendime yakýþtýramýyorum da... sizi bilemem. turkcell turkcellhizmet;2
20 yýllýk abonenizi dolambaçlý yollara sokmadan onu üzmemeye ne dersiniz... turkcell turkcellhizmet;2
turkcell bu ne yaa 7 dakika bekledim açan yok ne oldu müþteri hizmetleri uyuyor mu ???;2
turkcell ben sizin turbo internetinize tüküreyim. istanbulun göbegibde 3g mi çekmez lan nasýl biþey bu;2
6 saat sonra turkcell den avea ya geçiþ iþlemim tamamlanýyor. bir kere dahi sorun nedir diye arayýp sormayan turkcell le daha iþim olmaz;2
yurtdýþýnda arada bir zorunda kalýp internetimi açtýðým için 520 tl fatura sokan turkcell e teþekkür edip yarýn ilk iþim hattýmý taþýyorum;2
cmylmz demekki turkcell 'de her yerde full çekmiyormuþ! demek ki cem abide biz gibi iþsiz olabiliyormuþ. seviyoruz seni cem abi!;2
turkcell'e lanetler ettiðim dakikalardayýz;2
allah senin belani versin turkcell 3g degil 2g bile çekmiyorsun.;2
selfieboylunuz turkcell bu yüzden avea ya geçtim canavar gibi çekiyor sýrf interneti yüzünden gereksiz pahalýlar ve hizmet vermiyorlar;2
turkcell 5 gündür hat geçisini yapamadý neymiþ 6 iþ günüymüþ ben iptal ettim geçiþi vodafone kadar olamadýnýz 1 günde geçiþ yapýyorlar;2
turkcell ayrýca bionuz yanlýþ. birlikteyken her gün iyiye giden sizsiniz. bize iyi giden sadece faturalar. turkcell adam mýdýr? iyi günler.;2
turkcell bütün gsm operatörlerini yok etmek lazým, en baþta turkcell i;2
turkcell heryerde çekmiyo arkadaþ kandýrýyolar;2
ya bu turkcell hani her yerden çekiyordu? resmen yalan.samsundayýz çekmiyor.;2
dert sahibi oldum sizin yuzunuzden yeter turkcell marmara ereglisinde turkcelldn baska her operator cekiyor.siz ancak konusun!!!;2
10 yýl abonesi olduðum turkcell hattýmý en yakýn sürede kapatacaðým. kandýrýldým!!! turkcell turkcellhizmet tcellplatinum;2
turkcell internet canavari internet dayanmiyor fazlami cekiyosunuz biyerlerin acigini internettenmi kapatiyosunuz ! :/;2
bu turkcell hem dengesiz hem soyguncu masaallah hiçbir fýrsatý kaçýrmýyor tl yüklemeyegör hemen sömürüyor;2
komik. turkcell'den caillou ve niloya'ya terör bahanesiyle sansür via zamancomtr;2
durun nereye.. daha karpuz kesecektýk.... turkcell'den skandal karar;2
telefon alacaksan apple samsung htc falan alacan aga turkcell t50 ve turkcell allah cezanýzý versin;2
turkcell bizim bu taraflara hizmet vermekten vaz mý geçtiniz ?;2
turkcell 15 yillik turkcell abonesi babami uyarip sirket degistirmesini isteyecegim;2
turkcell coktu mu..? arama yapabilen fav!!!;2
twitter paketim olmasýna raðmen girmiyo söylenecek birþey yok harbi ah turkcell;2
turkcell bakýrköyde çekmeyen türkiye'nin en büyük operatörü! eskiden çeker ama konuþmada sorun olurdu, iki gündür çekiþ neredeyse 0?!;2
turkcell ayrýlýrken bile 60 lira ayrýlma ücreti istedin nafaka hesabý. hiç bir zaman bi mutualizm yaþamadýk senle hep sen yarar saðladýn;2
superonline ve turkcell den nefret ediyorum kesinlikle tavsiye etmiyorum cok kötü hizmet veriyorlar yarn ilk iþim þikayetci olmak olcak;2
türkiye'nin en iyi çeken operatörü diyorlar ama ýstanbul'un göbeðinde bir saatten fazladýr þebeke yok. turkcell;2
þebeke arýyorum, kolum uyuþtu. turkcell;2
turkcell bütün hayatým turkcell le geçti ama ben bu tarifeye giremiyorum. turkcell ben senin için ne ifade ediyorum .;2
allahým turkcell im çekmiyor.ama fatura maaþallah.sayfalarýna yazdým,,ilgi de yok,,soyguncu utanmazlar.;2
3.5g miþ bu ev 4. kat ama yine de çekmiyor ne iþ turkcell;2
sizde benim gibi her dakika turkcell e küfür ediyormusunuz?;2
turkcell faturama, katma deðer servisi adý altýnda gelen ek maliyet nedir turkcell kazýklarý?? kontratým bitsin, turkcellde 5 dk kalmýcam;2
bu sýnýrsýz internet 1gb lik kotayý aþýnca hýzý azalýyodu hani takýr takýr giriyom. hayýrdýr turkcell??;2
kimeneyazar bilmem ama turkcell iyi yazar;2
turkcell her ülkede farklý fiyatlandýrma saçma paketler ile çok güzel dolandiriyorsunuz. tr ye gelince ilk isim aboneligimi iptal etmek.;2
superonlinetr mk bnde videoda diye ttnet ile dona dona video izledim bu eziyeti yaþattýðýn teþekkürler zengine hizmet eden turkcell;2
agunzagun turkcell bozdu ya. antiturkcellteamavea;2
turkcell'in výnn'ýndan almayýn. cidden. piþmanlýk bildiðin. telefonu baðladým onu modem olarak kullanýyorum þu an. böyle rezalet yok.;2
turkcellhizmet turkcell acil hesabýma ulaþmam lazým. þuan ne müþteri hiz. cevap veriyor üstelik numaranýz kullanýlmýyor geçeriz diyor;2
turkcell'de ne sifre gönderiyor ne de kalan interneti söylüyor. elektriði de kesin bari.;2
gece ikide de mesaj gelmesin ama lütfen turkcell turkcellhizmet;2
turkcellhizmet tcellplatinum onay almadan içerik servisi data adý altýnda 50 tl ücret alan turkcell'i kýnýyorum.;2
musteri hizmetlerini 15 kere aradiktan sonra ulas ondada hizmet yok hizmetsifir kötü hizsifir turkcell superonlinetr turkcellhizmet;2
yaratýcýlýðýmýn tavan yaptýðý saatte internetimi kesip,kaderimle oynayan turkcell superonline.. logosu salyangoz olan firmadan ne beklenir?;2
turkcell turkcellhizmet superonlinetr turkcell superonline müþteri hizmetlerinden aldýðým yardým ile sorunum hala düzeltilmemiþtir.;2
hattým hala açýlmadý. ne açgöz biþey çýktýn turkcell ya!;2
hadi hep beraber vodafone a geçelim turkcell batsýn;2
takýntýlý biriyim yaa benn. ..bakk bu turkcell sinir oldum benn yarýn halletmem lazým gene numaramý taþýmak istemiyorum baþka operatör'e..;2
turkcell ben dahil milyonlarca kullanýcýnýzýn saat ayarlarýný yeniden yapmasýna sebep olduðunuz için teþekkürler!;2
allah belaný versin turkcell gecenin yarýsý 10 dakikadýr müþteri temsilcisine baðlanmak için bekliyorum güya türkiyenin en iyisi turkcell;2
internet sistemlerinizin saatlerini 1 saat geri almýþsýnýz gece kuþu bir anda yavaþladý bari haber verseydiniz. turkcell turkcellhizmet;2
turkcell 1000 dakika 2gb varda neden 1000 dakika 6-7-8-9 gb yok?? mecburmuyuz bin sms almaya??;2
turkcell turkcellhizmet gecenin bu saatin de benden habersiz yurtdýþý sms paketi açýp,mesaj yolluyorsunuz?pardon da kime sordunuz?;2
13 yýl sonra turkcell i terk ettim mrb avea;2
turkcell sevgili türkcell internet hýzýnýzý geçtim, 3g o kadar kötüki twit bile atýlmýyor, sürekli kapa aç yapmaktan tel kafayý yedi;2
turkcell sen bi 3g yi hallet de 4e sonra geçersin;2
turkcell alýn alýn hayatýnýz kararsýn þükürler olsun kurtuldum.............;2
operatör müsün soyguncu musun belli deðil. yurtdýþýndayým,hattým cüzdanýmda,kapalý hatta her ay 300 400 geçiriyosunuz turkcell;2
aha kimse telefonu yüzüme kapatmamisti turkcell 8035 müþteri temsilcisi kapattý. bu ne biçim hizmet;2
siz hiç bir mesajýma cevap vermiyorsunuz. turkcell turkcellhizmet turkcellnews;2
þimdiye çoktan yeni simkartýmýn posta yoluyla elime ulaþtýrýlmasý gerekirken. turkcell turkcellhizmet turkcellnews;2
çarþamba günü resmi imzayý atýyorum umarým bir daha görüþmeyiz turkcell turkcellhizmet gnctrkcll;2
15 yýldýr turkcell müþterisiyim turkcell piþmanlýktýr.;2
turkcell t60 piþmanlýktýr;2
superonlinetr eðer ki bende elimden geldiðince müþteri kaybetmene sebep olmazsam turkcell bana ayþe demesinler;2
yakýnda elimdeki twitteri da alacak bu turkcell;2
turkcell turkcellhizmet kesintide cok hizlisiniz o kadar hizliki daha sisteme bile yansimamis keske diger hizmetlerdede boyle olsaydiniz;2
yüce rabbim de beni turkcell faturalarim ile siniyor;2
nalet konnektifay yine çalýþmýyor paketten ye ye ayýn sonu gelmiyor. abv turkcell.;2
turkcell'in neti çok kazik yahuu;2
"turkcell büyük hizmet! gecenin 01'inde uykumdan uyandýrýp ""kalan int paketim"" için bilgilendirme sms'inz þerefine sizi burdan tebrik ediyrm";2
turkcell in genpa gýbý ýnsanlarýn hassasiyetiyle oynayan bir firmayla çalýþmasý bir utançtýr;2
hacý turkcell in baz istasyonuna kedi mi kaçtý anlamadým mi bildiðin nete giremiyorum turkcell neden cekmiyosunnnnn???;2
"nasýl para kopartacaðýný þaþýrmýþ. ""yuvarlama farký"" nedir ya bari yuvarlýyorsun tam yuvarla üçkaðatçý turkcell";2
nasýlradyo internet paketim bitiyor sen bunu bana nasýl yaparsýn turkcell;2
turkcell faturalý hattýmýn son kesim gününde 3 mb interneti aþtým.   5 tl. aþým derdi yok. aþýrma derdi var.;2
telefon zor çekiyor internette gidip geliyor hani bu turkcell 4 çekerdi;2
turkcell sizin kadar soyguncusu yok yemin ediyor býktým artýk illellah dedirttiniz;2
hayvan gibi internetim gidiyor. aveada 1 ay rahat yeten internetim turkcell de 10 günde bitiyor allah karetsin böyle turkcell i turkcell;2
turkcell interneti niye bu kadar sömürüyon canýsý?;2
daha telefon çekmiyor siz 4.5 g diyorsunuz turkcell;2
17 lira kullaným ücreti nedir turkcell;2
turkcell 4gun banka mobil iþlemleri yapamýyoruz sizin yapacaðýnýz ücretsiz degisim ancak bukadar olur.;2
hani bu turkcell heryerde 4 cekerdi. birak çekmeyi arayan ulaþamýyor;2
anladim tamam bitti paket yetmez mi bu kadar mesaj sence de? turkcell;2
otomatik olarak internet yükleme... yüklemeeeeeee yeter turkcell;2
arkadaþlar turkcell'e ufak ufak uyuz olmaya baþlýyorum. vodafone çekim kalitesi ve internet hýzý/çekimi nasýl?;2
bilalardic_ turkcell rabbim ömür verirse tek hedefim ilk fîrsatta superonline ve turkcel den kurtulmak inþallah;2
bilalardic_ turkcell bu turkcele girmeyen bir giren bin piþman ..hele superonline. .aman diyeyim aman..yanarsiniz;2
müþteri temsilcisiyle konuþmayý da ücretli yapmýþsýn aslan parçasý turkcell ..!;2
turkcell 95 tl olarak gelmesi gereken fatura 185 tl olarak geldi caným. bu kaçýncý ama... ayrýlma vaktimiz geldi sanýrým aeo.;2
turkcell nerede ücretsiz? hangi time gitsek ya kalmadý ya da ücretli deðiþtirebiliriz diyorlar! sorsan her yerde ücretsiz havasý atýyonuz!;2
saka degil gercek turkcell de sorun var;2
turkcellhizmet ama sizinle mücadele etmicem sýkýldým artýk ödeyeceðim ve turkcell'e ödediðim son para olacak;2
turkcell 'li olmayan benle ayný masaya oturmasýn diye dalga geçerdim hale bak. ben bile çileden çýktým turkcellhizmet;2
"10 seneden sonra; müþterisi olmaktan memnun olduðum, bir dönem çalýþaný da olduðum turkcell'i terk etmeye tam bu gece karar verdim turkcell";2
adblock gerçek hayatta da olsa keþke direk turkcell için kullanýrdým þu ara. hayatýmda böyle para göz bir firma daha görmedim ben..;2
turkcell þehrin göbeðinde çekmiyor?!;2
daha istanbulun göbeði dediðimiz yerlerde çekmeyen turkcell 4,5g dediðin senin neyine;2
turkcell çöktü;2
turkcell bunu hediyeden saymamý beklemeyin zaten ben simkart için ücret ödedim madem ücretsiz olacaktý bu neden en baþýndan olmadý;2
turkcell siteniz çok aðýr iþliyor ! alan adýnýzý kardeþler ticaret'in yýllýk 100 tl kampanyasýndan mý aldýnýz?;2
turkcell kendi paramýzla rezil olmak bu olsa gerek turkcell yurtta internet yok bizde de mobil çekmiyor güya turkcell neden acaba??;2
ek net paketi ittiren turkcell gibi uyanmak dileðiyle;2
gece vakti hat kapatýlmaz turkcell. sen ki, beni en yalnýz zamanýmda bile bir mesajla da olsa yalnýz býrakmayansýn. bu yaptýðýn çok ayýp.;2
"turkcell numaramý taþýyorum. sizden avea'ya;)";2
sevgili twitter alemi, turkcell turkcellhizmet hat kullanýyorsanýz sim kartýnýzý 4.5g uyumlu olanla deðiþtirmeyin! telefon çekmiyor!!!;2
turkcell 1 tl lik telefon kampanyasý internet sitenizde yok hemde herkes yararlanamýyor sizi tercih etmesinler diye mi yapýyorsunuz.;2
yarajaii turkcell en pahalý servisler turkcellde;2
turkcell öz kullanicilarini iyice boþladi kullanýlacak adam gibi uygun internet paketi yok ne varsa yeni gelenlere;2
aveaya hasret kaldim inanabiliyo musunuz turkcell omrumu yedi paralarimi da;2
13 günde 4 gb internet bitirdin beni turkcell;2
turkcell bir yandan yarisma duzenleyip kazandigimizi kontur yuklemiyirsunuz sizleri sahtekarlikla sucluyorum;2
sarý kutudaki puanlarýmla bilyonerden yýlbaþý bileti alacaðým, verilen kampanya kodu hatalý, bu nasýl rezil iþbirliði? bilyoner turkcell;2
yýl oldu 2016, istanbul'un göbeðinde 3 haftadýr 3 g çekmiyor birde 4.5 g yi çýkaracaklarmýþ þaka gibi turkcellhizmet turkcell;2
siz bi hayýrdýr len. noluyor bu internete. turkcell;2
turkcell haram zýkkým olsun yatýrdýðým paralar yaaa;2
gece mesaj atmasan çok mutlu olacaðým , ayýp turkcell;2
cumartesiden itibaren güle güle turkcell hoþgeldin vodafone. umarým senin internetin düzgün çalýþýr.;2
turkcellhizmet iletiliþim kurmakta aceleniz yoksa turkcell kullanýn. 3 aydýr þikayet ediyorum. çözüm sýfýr. turkcell de deðiþen ne;2
turkcellhizmet turkcell þikayetlerimizi dikkate alýp lütfen çekim gücü için ve internet baðlanmama için birþeyler yapýn.turkcelinçekimgücü;2
bu turkcell adamý hasta eder ya bu mesaj nasýl gitmez ya;2
turkcell buna ne diyeceksiniz acaba bahçeþehirin göbeðinde oturuyorum ve servis yok internet'e baðlanamýyorum.;2
turkcell platin müþteri falan hikaye önce m.hizmetlerindeki elemanlarý eðitin. aradýðýmda yetkiliye ne kadar yetkili olduðunu soracaðým;2
turkcell 20 yýllýk turkcell liyim m.hizmetlerindeki sorumsuz yüzünden puanlarýmý sildiniz. en kýsa zamanda kurtulacaðým sizden.;2
turkcellhizmet kadiryucel turkcell gercekten son bir aydir internet cok kotu cok kopma yasiyorum cihazim sorunlu sandim ama sorun sizde;2
hadi yurdun internetinin kendine hayrý yok sana noluyo turkcell'in interneti :d;2
sevgili turkcell acil bir durum yoksa þu saatte kimse aranmaz, mesaj atýlmaz, vs. korkuyor insan kötü haber mi diye...;2
niye faturayý son gün hatýrlatýyosunuz sevgili turkcell? allahým çok yoðunum;2
370 tl fatura gondermeyý býlýyorsunuz fakat ýstanbulun ortasýnda 3g'nýz cekmýyor nasýl olacak? turkcellmusterýhýzmetlerý turkcell;2
turkcell baz istasyonu arýzasý..;2
turkcell seni sevmedim bekle beni vodafone:);2
turkcell den yediðim kazýðýn haddi hesabý yok;2
az önce turkcell 22 tl daha faturama eklediðini deðerli abonesi olan bana iletmiþ bulunmakta;2
normalde int. imin paket bitiminde otomatik donmasý gerekirken paketi aþtýn diyerek bana 100 mb interneti 5tl ye iteleyen turkcell slm sana;2
turkcell iþiniz gücünüz yalan, iþiniz gücünüz para !;2
turkcell yýlda bi iþime yaricaksýn ondada sistemin çalýþmýyo;2
turkcell benim eþim dostum musun ki bana gecenin 12.30'unda mesaj atýyorsun! turkcell;2
turkcell bana zarar vermektesiniz. eger ki firmaniz 5 tl 250 mb satmayip bize uygun paket sunarsa biz burda kendimizi ozel hissederiz;2
turkcell yýlbaþýnda puanlarýmýzýn bir kýsmý silindi, üstelik biriktirmek için o kadar uðraþtýk ve güzel bir kampanya yapmadýnýz gitti hepsi;2
turkcell kurumsal bir firma ama sarý kutu'da doðru dürüst hiçbir hediye yok alýnabilecek? size yakýþmýyor, kaç aydýr puanlar boþa gidiyor;2
turkcell müzik gece gece yine sýkýntý yarattý öööffff :(;2
nejdetkoc sizin personeliniz olduðunu söyleyen bu þahýsýn yazdýðýna bakýn. ahlaksýz turkcellhizmet turkcell;2
turkcellhizmet turkcell bir de eðlencede dahi gecem operatör yüzünden zehir oluyorsa kapatýn dükkaný gitsin, yazýklar olsun;2
turkcell'in 1mbps ye yüksek hýzlý demesi akýl iþi deðil...;2
turkcell in yapacaðý iþinde ben !;2
turkcell ile nerdeyse 20 yýl oldu, yollarýmýzý ayýrma vakti geldi artýk…;2
turkcell'in çekim gücü oraný reklamý kadar saçma hayatlarr;2
þu turkcell kadar beni sömüren baþka birþey yoktur herhalde;2
ya gözünü sevdiðim turkcell'i daha 2 gün oldu 4 gb nasýl biter;2
turkcell çok kazýk;2
cidden oturup aðlicam ne biçim bi tarifesin be turkcell düzelt internetimi ulen;2
"sizin tek çabanýz; insanlarý yalan vaadlerle kandýrýp faturalarýna çaktýrmadan fahiþ paralar yansýtarak kandýrmak!!! turkcell";2
turkcell reklamlarý nedir ya o nedir yani hangi beynin ürünü o ?!;2
ya bu turkcell in yurt dýþý ile derdi ne ? çok komik ve saçma reklamlar yapmýþlar yine;2
zencili turkcell reklamý sanký akla gelen ýlk fikirle yapýlmýs gibi. kumandaya hücum ettýrýyor;2
oha bu ne biçim reklam olmamýþ bu sefer turkcell türkiþçiðköfte;2
biliyorum küfür aðzýma hiç yakýþmýyor ama söz konusu 'turkcell' olunca tutamýyorum kendimi;2
2015in turkiyenin gumushanesinde turkcell yine cekmiyor. allahin belasi operatör -_-;2
þu saatte gima'nýn önünde diyor ve gidiyorduk. her pisliðin müsebbibi sensin turkcell.;2
pismanligin adi turkcell , acaba avea bizi yeniden kabul eder mi gozunu sevdigim avea ya turkcel dedikleri bumuydu tüüh beþ para etmez;2
turkcell'in karý neden azaldý;2
siz kendinizi abd nin bimcell'i ile mi kýyaslýyorsunuz da böyle reklamlar cekiyorsunuz acaba? turkcell;2
turkcell turkcellhizmet artik yeter ne iðrenç bi hizmet !!!! sýrf kaziklamak için !;2
ýnternetimin cekmedigi zaman, internetinizle ovundugunuz o yalan dolan reklami yayinladiginizda size bir kere daha bela okuyorum! turkcell;2
turkcell internet hýzýnda amerikayý,almanyayý hatta ýþýk hýzýnýný geçmiþ ama reklamlarda... birde aydýnda çekse... yersen;2
hayatimda yaptigim en buyuk hata sumeyyeyi dinleyip turkcell hat almakti;2
turkcell senden yedigim kaziklarla cok sey insa edebilirdim lan ama seni terk edicem edicem edicemm;2
reklam yapýyorsunuz,en hýzlý 3g imiþ,tweet bile yüklenmiyor turkcellhizmet turkcell;2
vodafone turkcell’i tahtýndan indiriyor!;2
la olum bu turkcell vodafone reklamlarida iyice ilkokula dondu boyle alttan alttan gondermeler ozentilik yapmalar falan yapmayýn;2
bu tarife paketlerini kaç ay da bir yeniliyorsunuz bimcelle mi geçelim haaa turkcell;2
bu çekmeyen internet sayesinde sabrý ve dayanmayý ögrendim teþekkürler sensei turkcell;2
genc turkcell reklamýný kýnýyorum.sizin yeni dünya düzeninizde bir erkek için en önemli þey kýzýn tel nosunu almak olmalý...yazýk...;2
turkcell turkcellhizmet lutfen musteri temsilcilerinizi dogru duzgun egitip iyi bir sinava tabi tutup ondan sonra o masalara oturtun.;2
odamin kapisini kapayinca tel cekmiyo boyle bi sacmalik var mi turkcell amca;2
turkcell her yerde çekiyormuþ. ulan daha bizim okulun ilk katýnda çekmiyor neyin kafasý bu?!;2
kim demiþ turkcell 4 çeker internete bile tam olarak giremiyorum;2
sana küstüm para yüzü göstermedin ayrýlalým kapatýyorum bb. -turkcell;2
tüm çevremdeki insanlarýn hatlarýný turkcell den çekiyorum. yeni müþterilere uyguladýðýnýz kampanyalarla size mutlu yarýnlar..! turkcell;2
çevremde 6 kiþi turkcell hattýný ( çoðu taahütlü olmasýna raðmen ) iptal edip vodafonetr e geçti. valla helal olsun.;2
turkcellhizmet düþünün ki vodafone'nun internetinin tavan yaptýðý yerde turkcell taban görüyor ?.. daha ne diyim..;2
vodafone'nun çektiði yerde turkcell çekmiyorsa konu kapanmýþtýr.;2
"turkcell ""internet paketinden yemez"" nasýl bir türkçe anlayamadým doðrusu!";2
ya sizin verdiðiniz 3g hizmeti neden hep 3. sýnýf ? evin içine baz istasyonumu kuralým ? turkcell;2
vahdetcelikk ctosun ilkerkuruoz mecidiyeköy'de turkcell'in interneti hiç çalýþmýyor. siz yine yavaþ da olsa giriyorsunuz;2
bu ay turkcell yine bana baþarý ile faturayý geçirdi turkcell . 95.90 kuruþ ne;2
20 yýldýr turkcell kullanýcýsýyým, son günlerimi yaþýyorum valla taþýycam hattýmý baþka operatöre.;2
gnctrkcll diyorlar , bide öðrencisin diyorlar ama ayda 100 lira fatura ödetiyorlar reva mý bu þimdi turkcell !;2
8 gb netim var ama sanýrsýn kotam dolmuþ net yavaþ. çok sinir bozucu. zalým turkcell!!;2
superyardim turkcell beni on aydýr oyalýyor . kiþiye özel mektup gönderdim hiç reaksiyon yok. bu kurum battýmý ?;2
turkcell'in reklamlarýnda müthiþ bir kalite düþüklüðü var. reklam fikri de parlak deðil, prodüksiyon da baþarýsýz.;2
þubat'ýn kýsalýðýndan dolayý bu ay ki faturamý da erken yollamazsýnýz umarým.. turkcell;2
turkcell sen ayip etme bari interneti kesip duruyon h  ceken evde þimdi neden e çekiyooo;2
turkcell hem kalitesiz iþ hemde çalýþmýþ olduðunuz kalitesiz teknik servisleriniz yüzünden müþterinizi kaybettiniz bunlardan biride benim;2
ýnternetim neden yavaþ ya nedennn turkcell;2
musterisi olmadigim donemi faturalandiran ve odemeye zorlayan bir operator turkcell. tuketici mahkemesine verecegim;2
çok þükür sonunda turkcell den kurtulup vodafone türkiye geçtim amin :d;2
turkcell ey gidi turkcell!yýl olmuþ 2015 istanbuln orta yerinde evimin salonu hariç hiç bir yerde internet doðru düzgün çekmiyor.bilginize!;2
avea nýn turkcell reklamýna yaptýðý gönderme mart ayýnýn en iyi kapaðý bence;2
gece gece iyi sövdüm hakkýnýzý helal edin turkcell;2
dað baþýnda çeken internet kýrklarelinde çekmiyo baz istasyonlarýn çöksün turkcell;2
hadi wi-fi giderde sen nasýl cekmiyorsun turkcell nasýl bi internet sýkýntýsý var bu memlekette!!;2
aydýn otobanýnda turkcell 3g çekmiyor. 5 çekermiþ, hah çeker!;2
turkcell reklamýn olmasa bi hiçsin! bir de kalkmýþ turkcell4g den bahsediyon. yarýn bir gün türkiye'de ilk defa türkcelde diye baðýrýrsýn.;2
turkcell kadar kazýk atan bir operatör yok;2
turkcell4g 3g bilmem ama sahtekarlýkta turkcell in üstüne yok. verebildikleri en iyi hizmet bozuk malý satýp kalpazanlýk yapmak.;2
turkcell kalite normal fiyat kazýk. avea çekim gücü berbat. vodafonetr fiyat ve kapsama alaný iyi bide þu e-devlet mobil imzayý halletsen;2
þehir merkezinde oturmasam tamam da burda nasýl adam gibi çekmez turkcell be;2
turkcell ayrýlýk vakti geldi aetýk çok pahalýsýn;2
turkcell sen bir sümüklüböceksin.;2
avea hattim geldi gule gule turkcell;2
turkcell yuvan yýkýla noldu be sana dünya bi para ödüyom yedin bitirdin beni çok biþi istemiyom bi çek ya bi çek!zencilerle gözümüzü boyama;2
turkcell telefon ile konuþmak için evin çatýsýna çýkmak bu çaðfa sizin için de utanç deðil mi? çatýya da çýkdan olmuyor ya gerçi.;2
turkcell þu an turkcel müþterisi olarak utanç duyuyorum.;2
kontrat falan dinlemem. yarýndan tezi yok ak(!?)turkcell e son. dostlarýmý da iptal ettiriyorum. 111psikolog barýsbckgcmz turkcell;2
ak_mecnunak 111psikolog turkcell turkcellhizmet eðer byle bþey varsa yarýn ilk iþim iki turkcell hattýmý da kapatmk olur. ailem de dahil;2
artìk turkcell li degilim;2
